category,og:url,og:title,og:description,og:image,og:type,og:site_name,twitter:title,twitter:description,twitter:image,twitter:card,description,keywords,author,article:published_time,article:author,profile:username,status
uncategorised,https://colorhunt.co/,Color Hunt - Color Palettes for Designers and Artists,Discover the newest hand-picked color palettes of Color Hunt. Get color inspiration for your design and art projects.,https://colorhunt.co/img/color-hunt-og.png,website,,Color Hunt - Color Palettes for Designers and Artists,Discover the newest hand-picked color palettes of Color Hunt. Get color inspiration for your design and art projects.,https://colorhunt.co/img/color-hunt-og.png,summary_large_image,Discover the newest hand-picked color palettes of Color Hunt. Get color inspiration for your design and art projects.,,,,,,success
uncategorised,,,,,,,,,,,,,,,,,success
uncategorised,,Happy Hues - Curated colors in context.,See color palette inspiration on a real example website. As you click on different palettes every color on this site updates to give you context of how that color could be used for your design or illustration projects.,https://cdn.prod.website-files.com/5dd40aa8049df8748c72d0ee/5ddd471cbe5e6601554a2a4d_happy-hues.jpeg,website,,Happy Hues - Curated colors in context.,See color palette inspiration on a real example website. As you click on different palettes every color on this site updates to give you context of how that color could be used for your design or illustration projects.,https://cdn.prod.website-files.com/5dd40aa8049df8748c72d0ee/5ddd471cbe5e6601554a2a4d_happy-hues.jpeg,summary_large_image,See color palette inspiration on a real example website. As you click on different palettes every color on this site updates to give you context of how that color could be used for your design or illustration projects.,,,,,,success
uncategorised,https://radix-ui.com/,Radix UI,"Components, icons, and colors for building high‑quality, accessible UI. Free and open-source.",https://radix-ui.com/social/themes.png,,,,,,summary_large_image,"Components, icons, and colors for building high‑quality, accessible UI. Free and open-source.",,,,,,success
React,https://www.shadergradient.co/customize,Shader Gradient,"Create beautiful moving gradients on Framer, Figma and React",https://framerusercontent.com/images/PhH05ZOFB4Y5fMQk7QjKw9D1PVM.png,website,,Shader Gradient,"Create beautiful moving gradients on Framer, Figma and React",https://framerusercontent.com/images/PhH05ZOFB4Y5fMQk7QjKw9D1PVM.png,summary_large_image,"Create beautiful moving gradients on Framer, Figma and React",,,,,,success
CSS,https://uicolors.app,Tailwind CSS Color Generator | UI Colors,"Generate, edit, save and share Tailwind CSS color shades based on a given hexcode or HSL color.",https://uicolors.app/og_image_2025.png,,,Tailwind CSS Color Generator | UI Colors,"Generate, edit, save and share Tailwind CSS color shades based on a given hexcode or HSL color.",https://uicolors.app/og_image_2025.png,,"Create and customize beautiful Tailwind CSS color palettes. Generate, edit, and export colors for your design with our intuitive color generator tool.",,,,,,success
uncategorised,https://coolors.co/,Coolors - The super fast color palettes generator!,Generate or browse beautiful color combinations for your designs.,https://coolors.co/assets/img/og_image.png,website,Coolors.co,,,,summary_large_image,Generate or browse beautiful color combinations for your designs.,"color scheme, scheme color, color schemes, color theme, color palette, color themes, color palettes, color combinations, color, colors, palettes, hex color wheel, pastel color palette, color wheel, color combination, color pallete, color names, web color schemes, color wheel generator, extract color palette from image, random color palette generator, color schemes generator, ui color palette generator, pretty colors, vintage color, color palette from image",,,,,success
JavaScript,https://gsap.com/,Homepage | GSAP,GSAP is an industry standard JavaScript animation library from GreenSock that lets you craft high-performance animations that work in every major browser.,/GSAP-share-image.png,website,,Homepage | GSAP,GSAP is an industry standard JavaScript animation library from GreenSock that lets you craft high-performance animations that work in every major browser.,https://gsap.com/GSAP-share-image.png,summary_large_image,Supported by Webflow. Animate Anything - A wildly robust JavaScript animation library built for professionals.,,,,,,success
uncategorised,,,,,,,,,,,A visual tool for experimenting with flexbox layouts,,,,,,success
HTML,https://lottiefiles.com,LottieFiles: Download Free lightweight animations for website & apps.,"Effortlessly bring the smallest, free, ready-to-use motion graphics for the web, app, social, and designs. Create, edit, test, collaborate, and ship Lottie animations in no time!",https://stp-v4-cdn.lottiefiles.com/ogimage_Homepage_b5840ac00c.png,website,LottieFiles,LottieFiles: Download Free lightweight animations for website & apps.,"Effortlessly bring the smallest, free, ready-to-use motion graphics for the web, app, social, and designs. Create, edit, test, collaborate, and ship Lottie animations in no time!",https://stp-v4-cdn.lottiefiles.com/ogimage_Homepage_b5840ac00c.png,summary_large_image,"Effortlessly bring the smallest, free, ready-to-use motion graphics for the web, app, social, and designs. Create, edit, test, collaborate, and ship Lottie animations in no time!","lottie, animations, website, app, social, designs, create, edit, test, collaborate, ship",,,,,success
uncategorised,,"Phase - Animation, Micro-Interactions, Advanced Prototyping","Design in Figma, Prototype in Phase, Export to Code.",/images/phase_banner.jpg,website,,"Phase - Animation, Micro-Interactions, Advanced Prototyping","Design in Figma, Prototype in Phase, Export to Code.",/images/phase_banner.jpg,summary_large_image,"Design in Figma, Prototype in Phase, Export to Code.",,,,,,success
uncategorised,,,,,,,,,,,🎨 Discover 8M+ high-quality SVG & PNG icons & stock photos for your next project. 🔍 Find the perfect icon or photo in seconds!,,,,,,success
JavaScript,/,Anime.js | JavaScript Animation Engine,A fast and versatile JavaScript animation library,/media/site/5e9b48763d-1744100039/anime-js-sharing-image.png,,,Anime.js | JavaScript Animation Engine,A fast and versatile JavaScript animation library,https://animejs.com/media/site/5e9b48763d-1744100039/anime-js-sharing-image.png,summary_large_image,A fast and versatile JavaScript animation library,,,,,,success
uncategorised,https://github.com/codecrafters-io/build-your-own-x,GitHub - codecrafters-io/build-your-own-x: Master programming by recreating your favorite technologies from scratch.,Master programming by recreating your favorite technologies from scratch. - codecrafters-io/build-your-own-x,https://opengraph.githubassets.com/8812d3bdba70b6c7c6a597ad7110793cf98fc75781842013de8c72cd5838a711/codecrafters-io/build-your-own-x,object,GitHub,GitHub - codecrafters-io/build-your-own-x: Master programming by recreating your favorite technologies from scratch.,Master programming by recreating your favorite technologies from scratch. - codecrafters-io/build-your-own-x,https://opengraph.githubassets.com/8812d3bdba70b6c7c6a597ad7110793cf98fc75781842013de8c72cd5838a711/codecrafters-io/build-your-own-x,summary_large_image,Master programming by recreating your favorite technologies from scratch. - codecrafters-io/build-your-own-x,,,,,,success
Education,https://github.com/donnemartin/system-design-primer,GitHub - donnemartin/system-design-primer: Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards. - donnemartin/system-design-primer,https://opengraph.githubassets.com/31a0f096ea2749b86a7718c59dfc3fde24221984800a69baab6e6661e8bb2654/donnemartin/system-design-primer,object,GitHub,GitHub - donnemartin/system-design-primer: Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards. - donnemartin/system-design-primer,https://opengraph.githubassets.com/31a0f096ea2749b86a7718c59dfc3fde24221984800a69baab6e6661e8bb2654/donnemartin/system-design-primer,summary_large_image,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards. - donnemartin/system-design-primer,,,,,,success
